range_m,azimuth_deg,peak,count,ping,t_s
65.58800000000001,26.0,1997.8065703442935,1,23,23.0
65.58764208138585,-115.99722860637958,996.0780619986942,2,23,23.0
78.2496,158.0,11.08747726639531,1,23,23.0
53.063199999999995,-90.0,9.367124687712044,1,23,23.0
12.9504,88.0,8.70674395843989,1,23,23.0
65.8312,26.0,1998.5373732071198,1,24,24.0
65.83783212663788,-115.99271979957345,1002.768962542096,2,24,24.0
65.8312,154.0,1000.3927402861002,1,24,24.0
20.2008,48.0,11.753247950755949,1,24,24.0
96.62187433235549,10.0,10.788017864370385,2,24,24.0
66.08959999999999,26.0,1989.654622603648,1,25,25.0
66.0744,154.0,996.346600395716,1,25,25.0
66.0819123640158,-115.99934081507163,995.5929827023106,2,25,25.0
13.8472,94.0,10.893780292847923,1,25,25.0
66.33279999999999,26.0,1999.8912006073285,1,26,26.0
66.33279999999999,154.0,999.7566222992766,1,26,26.0
66.32535704689964,-116.00118128358162,997.5956024419671,2,26,26.0
88.91999999999999,54.0,11.666779802055792,1,26,26.0
3.6328,64.0,10.86754091819325,1,26,26.0
66.576,26.0,1996.4289641434816,1,27,27.0
66.58295980991186,-115.99518458473074,1002.0298495499649,2,27,27.0
66.576,154.0,998.2679480361506,1,27,27.0
9.408434443082271,-148.0,11.532516365742497,2,27,27.0
42.788000000000004,-2.0,9.113684317587913,1,27,27.0
66.8344,24.000000000000004,1992.8145402945217,1,28,28.0
66.82704742933032,-116.00186112687423,1000.2849629227808,2,28,28.0
76.94239999999999,116.00000000000001,11.242320565904734,1,28,28.0
89.05680000000001,-46.0,8.697597347528733,1,28,28.0
56.7264,-56.0,7.593995110545678,1,28,28.0
67.0776,24.000000000000004,1991.8951771314291,1,29,29.0
67.08507779675902,-115.99908080527219,998.3101035066371,2,29,29.0
67.0776,154.0,995.3264376350919,1,29,29.0
8.436,66.0,10.969595086543837,1,29,29.0
31.1752,-38.0,10.534250485113553,1,29,29.0
67.336,24.000000000000004,1988.2889336333749,1,30,30.0
67.32865798790404,-116.00194054690607,1001.3497174154875,2,30,30.0
3.6024,36.0,11.785776877588951,1,30,30.0
23.529600000000002,54.0,10.84898859274006,1,30,30.0
62.958400000000005,42.0,10.51699943304462,1,30,30.0
67.5792,24.000000000000004,1986.3120671551346,1,31,31.0
67.58736130996688,-116.00422209065229,995.1543867374062,2,31,31.0
19.5472,-22.0,13.320739148351338,1,31,31.0
